examId,topicId,type,difficulty,source,sourceYear,content_json,explanation
upsc-prelims,modern-history,mcq,hard,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The Mauryan Empire was succeeded by which dynasty?"", ""options"": [""Shunga Dynasty"", ""Gupta Dynasty"", ""Nanda Dynasty"", ""Satavahana Dynasty""], ""correct_options"": [0] }",The Shunga Dynasty emerged after the fall of the Mauryan Empire around 185 BCE.
upsc-prelims,modern-history,mcq,medium,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""Which emperor's reign is known as the 'Golden Age' of Indian history?"", ""options"": [""Ashoka"", ""Vikramaditya"", ""Kanishka"", ""Chandragupta""], ""correct_options"": [1] }",The reign of Vikramaditya of the Gupta dynasty is considered the Golden Age.
upsc-prelims,modern-history,mcq,easy,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The Rigveda is divided into how many books?"", ""options"": [""10"", ""12"", ""14"", ""20""], ""correct_options"": [0] }",The Rigveda consists of 10 Mandalas or books.
upsc-prelims,geography,mcq,medium,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""Which is the largest plateau in the world?"", ""options"": [""Deccan Plateau"", ""Tibetan Plateau"", ""Colorado Plateau"", ""Patagonian Plateau""], ""correct_options"": [1] }",The Tibetan Plateau is the largest plateau in the world by area.
upsc-prelims,geography,mcq,hard,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The Atacama Desert is located in which continent?"", ""options"": [""Africa"", ""Asia"", ""South America"", ""Australia""], ""correct_options"": [2] }",The Atacama Desert is located in South America on the west coast.
upsc-prelims,geography,mcq,easy,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""Which is the deepest ocean trench in the world?"", ""options"": [""Java Trench"", ""Mariana Trench"", ""Kuril-Kamchatka Trench"", ""Mindanao Trench""], ""correct_options"": [1] }",The Mariana Trench in the Pacific Ocean is the deepest at 11000 meters.
upsc-prelims,polity,mcq,medium,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The Fundamental Rights in the Indian Constitution are covered under which articles?"", ""options"": [""Articles 12-35"", ""Articles 12-40"", ""Articles 14-28"", ""Articles 15-35""], ""correct_options"": [0] }",Fundamental Rights are guaranteed under Articles 12 to 35 of the Constitution.
upsc-prelims,polity,mcq,hard,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""Which article allows the President to appoint judges to the Supreme Court?"", ""options"": [""Article 124"", ""Article 125"", ""Article 126"", ""Article 127""], ""correct_options"": [0] }",Article 124 of the Constitution defines the establishment and composition of the Supreme Court.
upsc-prelims,polity,mcq,easy,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""How many union territories does India have?"", ""options"": [""6"", ""7"", ""8"", ""9""], ""correct_options"": [2] }",As of 2023, India has 8 union territories.
upsc-prelims,economy,mcq,medium,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The concept of 'trickle-down economics' is associated with which policy?"", ""options"": [""Socialist Policy"", ""Supply-side Policy"", ""Welfare Policy"", ""Tariff Policy""], ""correct_options"": [1] }",Trickle-down economics is a supply-side economic theory.
upsc-prelims,economy,mcq,hard,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The 'Laffer Curve' relates to which economic concept?"", ""options"": [""Inflation"", ""Tax revenue and tax rates"", ""Money supply"", ""Unemployment""], ""correct_options"": [1] }",The Laffer Curve shows the relationship between tax rates and tax revenue.
upsc-prelims,economy,mcq,easy,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""Stagflation is characterized by?""," ""options"": [""High inflation and low unemployment"", ""Low inflation and low unemployment"", ""High inflation and high unemployment"", ""Low inflation and high unemployment""], ""correct_options"": [2] }",Stagflation refers to a situation with both high inflation and high unemployment.
upsc-prelims,science-tech,mcq,medium,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The phenomenon of 'nuclear fission' was discovered by which scientists?"", ""options"": [""Oppenheimer and Fermi"", ""Hahn and Strassmann"", ""Einstein and Bohr"", ""Rutherford and Chadwick""], ""correct_options"": [1] }",Otto Hahn and Fritz Strassmann discovered the phenomenon of nuclear fission.
upsc-prelims,science-tech,mcq,hard,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""Which particle was predicted before its discovery and has zero charge?"", ""options"": [""Neutron"", ""Neutrino"", ""Positron"", ""Muon""], ""correct_options"": [1] }",The neutrino was predicted by Pauli and later discovered experimentally.
upsc-prelims,science-tech,mcq,easy,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The chemical symbol for Copper is?"", ""options"": [""Cp"", ""Co"", ""Cu"", ""Cb""], ""correct_options"": [2] }",The chemical symbol for Copper is Cu from its Latin name 'Cuprum'.
upsc-prelims,environment,mcq,medium,Mock Test,2023,"{ ""type"": ""mcq"", ""text"": ""The Montreal Protocol is related to protecting which layer of the atmosphere?"", ""options"": [""Troposphere"", ""Stratosphere"", ""Mesosphere"", ""Thermosphere""], ""correct_options"": [1] }",The Montreal Protocol aims to protect the ozone layer in the stratosphere.
